"filename", "language", "C++", "C", "Assembler file", "Python", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\user\libs\string.h", "C", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\45228\Desktop\share\ddos\code\user\libs\thread.c", "C", 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\45228\Desktop\share\ddos\code\user\libs\thread.h", "C++", 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\45228\Desktop\share\ddos\code\user\libs\types.h", "C", 0, 29, 0, 0, 0, 0, 11, 40
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c", "C", 0, 258, 0, 0, 0, 1, 68, 327
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h", "C", 0, 70, 0, 0, 0, 0, 1, 71
"c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.S", "Assembler file", 0, 0, 288, 0, 0, 0, 1, 289
"c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.py", "Python", 0, 0, 0, 24, 0, 2, 6, 32
"c:\Users\45228\Desktop\share\ddos\code\user\output\user.asm", "Assembler file", 0, 0, 16815, 0, 0, 0, 611, 17426
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c", "C", 0, 1482, 0, 0, 0, 113, 161, 1756
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.h", "C++", 4, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 947, 12213, 17568, 43, 36, 932, 2634, 34373
